integration,metric_name,metric_type,metric_enabled,metric_description
OracleDB,db.GcCurrentBlockReceivedPerTransaction,Gauge,true,GC Current Block Received Per Transaction
OracleDB,db.globalCacheAverageCrGetTimePerSecond,Gauge,true,Global Cache Average CR Get Time
OracleDB,db.globalCacheAverageCurrentGetTimePerSecond,Gauge,true,Global Cache Average Current Get Time
OracleDB,disk.tempSpaceUsedInBytes,Gauge,true,Temp Space Used
OracleDB,memory.pgaInUseInBytes,Gauge,true,Indicates how much PGA memory is currently consumed by work areas
OracleDB,memory.pgaAllocatedInBytes,Gauge,true,Current amount of PGA memory allocated by the instance. The Oracle Database attempts to keep this number below the value of the PGA_AGGREGATE_TARGET initialization parameter. It is possible for the PGA allocated to exceed that value by a small percentage and for a short period of time when the work area workload is increasing very rapidly or when PGA_AGGREGATE_TARGET is set to a small value
OracleDB,memory.pgaFreeableInBytes,Gauge,true,Number of bytes of PGA memory in all processes that could be freed back to the operating system
OracleDB,memory.pgaMaxSizeInBytes,Gauge,true,Maximum size of a work area executed in automatic mode. This value is continuously adjusted by the Oracle Database to reflect the current state of the work area workload. The global memory bound generally decreases when the number of active work areas is increasing in the system
OracleDB,disk.readTimeInMiliseconds,Rate,true,amount of file read time
OracleDB,disk.writeTimeInMiliseconds,Rate,true,amount of file write time
OracleDB,tablespace.spaceConsumedInBytes,Gauge,true,Consumed amount of tablespace in bytes
OracleDB,tablespace.spaceReservedInBytes,Gauge,true,Total reserved tablespace in bytes
OracleDB,disk.reads,Rate,true,Total number of physical reads
OracleDB,disk.writes,Rate,true,Total number of physical writes
OracleDB,disk.blocksRead,Rate,true,number of block reads
OracleDB,disk.blocksWritten,Rate,true,number of block writes
OracleDB,memory.bufferCacheHitRatio,Gauge,true,Buffer Cache Hit Ratio
OracleDB,memory.sortsRatio,Gauge,true,Memory Sorts Ratio
OracleDB,memory.redoAllocationHitRatio,Gauge,true,Redo Allocation Hit Ratio
OracleDB,query.transactionsPerSecond,Gauge,true,User Transaction Per Second
OracleDB,query.physicalReadsPerTransaction,Gauge,true,Physical Reads Per Transaction
OracleDB,query.physicalWritesPerTransaction,Gauge,true,Physical Writes Per Transaction
OracleDB,disk.physicalReadsPerSecond,Gauge,true,Physical Reads Direct Per Second
